booking_id,guest_id,room_id,check_in_date,check_out_date,status,channel,pax,total_amount,payment_status,created_at
VP01734,CM01734,B209,16/11/2025,18/11/2025,Confirmed,Line,2,800,Unknown,2026-01-15 09:09:38
VP01735,CM01734,B206,16/11/2025,18/11/2025,Confirmed,Line,2,800,Unknown,2026-01-15 09:09:38
VP01736,CM01734,B211,16/11/2025,18/11/2025,Confirmed,Line,2,800,Unknown,2026-01-15 09:09:38
VP01737,CM01734,N1,16/11/2025,18/11/2025,Confirmed,Line,2,1200,Unknown,2026-01-15 09:09:38
VP01738,CM01734,N5,16/11/2025,18/11/2025,Confirmed,Line,2,1200,Unknown,2026-01-15 09:09:38
VP01739,CM01734,N6,16/11/2025,18/11/2025,Confirmed,Line,2,1200,Unknown,2026-01-15 09:09:38
VP01740,CM01735,A106,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01741,CM01735,A107,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01742,CM01735,A108,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01743,CM01735,A109,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01744,CM01735,A110,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01745,CM01735,B111,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01746,CM01735,B101,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01747,CM01735,B102,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01748,CM01735,B103,16/11/2025,18/11/2025,Confirmed,Line,2,1000,Unknown,2026-01-15 09:09:38
VP01749,CM01735,B104,16/11/2025,18/11/2025,Confirmed,Line,2,800,Unknown,2026-01-15 09:09:38
VP01750,CM01735,B105,16/11/2025,18/11/2025,Confirmed,Line,2,800,Unknown,2026-01-15 09:09:38
VP01751,CM01735,B106,16/11/2025,18/11/2025,Confirmed,Line,2,800,Unknown,2026-01-15 09:09:38
