,,,,,,,,,
,,บริษัท วิพัฒน์โฮเทล.ดีเวลลอปเมนท์ จำกัด,,,,,,,
,,,,,,,,,
426 หมู่ที่9 ตำบลบึงกาฬ อำเภอเมืองบึงกาฬ จังหวัดบึงกาฬ 38000,,,,,,,,ใบเสร็จรับเงิน / ใบกำกับภาษี,
"โทร 080-625-4859 , 042-492-641  ",,,,,,,,,
เลขประจำตัวผู้เสียภาษีอากร   0-3855-59000-07-5,,,,,,,,,
,,,,,,,,,
  ชื่อลูกค้า / Customers:,,,บริษัท เคมีเซ็นเตอร์ ๙๙ จำกัด (สำนักงานใหญ่) ,,,,,,
,,,,,,,,เลขที่ / No.,VP00565
  ที่อยู่ / Address:,,,"82 ซอยสาธุประดิษฐ์12 แขวงทุ่งวัดดอน
เขตสาทร กรุงเทพมหานคร 10120",,,,,,
,,,,,,,,วันที่ / Date,12/11/2568
เลขประจำตัวผู้เสียภาษี,,,0 1055 52076 34 5,,,,,,
,,,,,,,,,
ลำดับที่,รายการ,,,,,จำนวน,,ราคา/หน่วย,จำนวนเงิน
Item,Description,,,,,Quantity,,Unit Price,Amount
1,ค่าห้องพัก,,,,,1.00 ,,500.00,500.00 
,,,,,,,,,
,,,,,,,,,
,เข้าวันที่ ,11/11/2568,,,,,,,
,ออกวันที่ ,12/11/2568,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
รายการรับชำระเงิน,,,,,,รวมเงิน,,,467.29 
,,,,,,TOTAL,,,
,,,,,,ภาษีมูลค่าเพิ่ม,,,32.71 
,,,,,,( VAT 7% ),,,
ตัวอักษร,( ห้าร้อยบาทถ้วน ),,,,,ยอดเงินสุทธิ,,,500.00 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
   ลงชื่อ ....................................... ผู้ชำระ,,,,,,ลงชื่อ ........................................ ผู้รับ,,,
              (....................................),,,,,,            (.....................................),,,
