Name,ID,Billing account,Billing account ID,
Dialogflow Intent Completion,dialogflow-intent-completion,Billing is disabled,—,
Alone,nearby-devices-23333,Billing is disabled,—,
My First Project,oceanic-trees-470416-p5,Billing is disabled,—,
My First Project,inner-radius-470416-a5,Billing is disabled,—,
Gemini cli,gen-lang-client-0460693482,Billing is disabled,—,
CLI-AI,gen-lang-client-0286385649,Billing is disabled,—,
My First Project,mineral-parser-470415-f7,Billing is disabled,—,
My First Project,beaming-prism-470415-f4,Billing is disabled,—,
,absolute-purpose-60gsz,Hardware -> Language Applications -> AIDA,014BB7-734838-D1BD80,
My First Project,sigma-sunlight-470611-g7,Billing is disabled,—,
My Project 62607,tribal-bay-476014-u9,Billing is disabled,—,
My Project 94848,cogent-tempo-470416-k3,Billing is disabled,—,
Planning With AI,planning-with-ai-e95ee,Billing is disabled,—,
DB-HOTEL-UP,gen-lang-client-0505704739,Billing is disabled,—,
HOTEL,hotel-7321f,Billing is disabled,—,
agent,gen-lang-client-0959743845,Billing is disabled,—,
gen-lang-client-0273886893,gen-lang-client-0236379177,Billing is disabled,—,
1126459,gen-lang-client-0273886893,Billing is disabled,—,
Gemini API,gen-lang-client-0469169314,Billing is disabled,—,
My First Project,nice-incline-470602-e4,Billing is disabled,—,
My First Project,spry-pipe-470416-t0,Billing is disabled,—,
My First Project,hopeful-hold-470416-n1,Billing is disabled,—,
Viphat Hotel Management Pro,gen-lang-client-0790065674,Billing is disabled,—,
Aileen,coffee-spark-ai-barista-b9ea7,Billing is disabled,—,
