--- START OF FILE สำเนาของ Budget Planner for Monthly & Expense Tracker - Template.csv ---

#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"แ ผ น ง บ ป ร ะ ม า ณ
แ ล ะ บั น ทึ ก ร า ย จ่ า ย",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ร า ย รั บ,,,,,,,,,ร า ย จ่ า ย    37.3%,,,,,,,,,ค่ า บิ ล / ค ง ที่    24.4%,,,,,,,,,เ งิ น อ อ ม    17.2%,,,,,,,,,ห นี้ สิ น    9.2%,,,,,,,,,,เ งิ น ค ง เ ห ลื อ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,฿,"5,450.00",,,,,,,,฿,"2,031.00",,,,,,,,฿,"1,330.99",,,,,,,,฿,940.00,,,,,,,,฿,500.00,,,,,,,,,฿,648.01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,เกินงบ ฿50,,,,,,,,,เกินงบ ฿456,,,,,,,,,ตามงบ,,,,,,,,,ตามงบ,,,,,,,,,ตามงบ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ปี,,,,,,,,เดือน,,,,,,,,,,,รายละเอียดการใช้จ่าย,,,,,,,,,,,,กระแสเงินสดจริง,,,,,,,,,,,,แผนภูมิกระแสเงินสด,,,,,,,,,,,,,,,,,,💧 กระแสเงินสด,,,,,,,,,,,,,,แถบความคืบหน้ากำหนดเอง,ค่า,รหัสสี (HexCode),แสดง,,,,ห้ามแก้ไขค่าใดๆ ตารางนี้ใช้สำหรับการแสดงผลกราฟเท่านั้น,,,,,,,
,,2025,,,,,,,,ม.ค.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ประเภท,,,,จริง,,,,งบประมาณ,,,,,,,มากกว่าหรือเท่ากับ,100%,#93B4A2,,,,,กระแส 1,,,รายรับ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟢,ยอดยกมา,,, ฿ 200.00 ,,,, ฿ 200.00 ,,,,,,,น้อยกว่า,80%,#FD9B87,,,,,,จริง,,ชื่อ,จริง,,ชื่อ,ค่า
,,👇 เลื่อนลงเพื่อกรอกรายการธุรกรรม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟢,รายรับ,,," ฿ 5,250.00 ",,,," ฿ 5,200.00 ",,,,,,,ระหว่าง 80% ถึง,99%,#F0C894,,,,,ยอดยกมา, ฿ 200.00 ,,ฟรีแลนซ์, ฿ 450.00 ,,รายจ่าย," ฿ 2,031.00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,รายจ่าย,,," ฿ 2,031.00 ",,,," ฿ 1,760.00 ",,,,,,,,,,,,,,รายรับ," ฿ 5,250.00 ",,เงินเดือน," ฿ 3,400.00 ",,ค่าบิล," ฿ 1,330.99 "
,,,,,,,,,การจัดสรรงบประมาณ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,ค่าบิล,,," ฿ 1,330.99 ",,,," ฿ 1,535.00 ",,,,,,,,,,,,,,รายจ่าย," ฿ 2,031.00 ",,ค่าเช่า," ฿ 1,200.00 ",,เงินออม, ฿ 940.00 
,,,,,,,,,,,,รายจ่าย :,30%,,"1,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,เงินออม,,, ฿ 940.00 ,,,," ฿ 1,040.00 ",,,,,,,,,,,,,,ค่าบิล," ฿ 1,330.99 ",,,,,หนี้สิน, ฿ 500.00 
