Room_Number,Room_Type,Price,Status
A101,Standard,400,ว่าง
A102,Standard,400,ว่าง
A103,Standard,400,ว่าง
A104,Standard,400,ว่าง
A105,Standard,400,ว่าง
A106,Standard Twin,500,ว่าง
A107,Standard Twin,500,ว่าง
A108,Standard Twin,500,ว่าง
A109,Standard Twin,500,ว่าง
A110,Standard Twin,500,ว่าง
A111,Standard,400,ว่าง
A201,Standard,400,ว่าง
A202,Standard,400,ว่าง
A203,Standard,400,ว่าง
A204,Standard,400,ว่าง
A205,Standard,400,ว่าง
A206,Standard,400,ว่าง
A207,Standard,400,ว่าง
A208,Standard,400,ว่าง
A209,Standard,400,ว่าง
A210,Standard,400,ว่าง
A211,Standard,400,ว่าง
B101,Standard,400,ว่าง
B102,Standard,400,ว่าง
B103,Standard,400,ว่าง
B104,Standard,400,ว่าง
B105,Standard,400,ว่าง
B106,Standard,400,ว่าง
B107,Standard,400,ว่าง
B108,Standard,400,ว่าง
B109,Standard,400,ว่าง
B110,Standard,400,ว่าง
B111,Standard Twin,500,ว่าง
B201,Standard,400,ว่าง
B202,Standard,400,ว่าง
B203,Standard,400,ว่าง
B204,Standard,400,ว่าง
B205,Standard,400,ว่าง
B206,Standard,400,ว่าง
B207,Standard,400,ว่าง
B208,Standard,400,ว่าง
B209,Standard,400,ว่าง
B210,Standard,400,ว่าง
B211,Standard,400,ว่าง
N1,Standard Twin,600,ว่าง
N2,Standard,500,ว่าง
N3,Standard,500,ว่าง
N4,Standard Twin,600,ว่าง
N5,Standard Twin,600,ว่าง
N6,Standard Twin,600,ว่าง
N7,Standard,500,ว่าง
