รายชื่อผู้ตรวจสอบ,รายรับอื่นๆ,ช่องทางการจอง,Commission,ประเภทการชำระเงิน,,ข้อมูลบริษัท,,เป้าหมายอัตราเข้าพัก,,,,No.,เดือน,ชื่อย่อ
พิกูล,ค่าซักผ้า,โทรศัพท์,0%,เงินสด,,ชื่อบริษัท,บริษัท วิพัฒน์โฮเทล.ดีเวลอปเมนท์ จำกัด,1%,,,,1,มกราคม,ม.ค.
ครูแอ๊ว,ค่าอาหาร,Ascend,30%,เงินโอน QR,,ที่อยู่บริษัท,426 หมู่ที่9 ตำบลบึงกาฬ อำเภอเมืองบึงกาฬ จังหวัดบึงกาฬ 38000,,,,,2,กุมภาพันธ์,ก.พ.
จิ๋ม,ค่าเสียหาย,Walk-in,30%,,,เบอร์โทรศัพท์,"โทร 080-6254859,042-492641",,,,,3,มีนาคม,มี.ค.
เอฟ,ค่ารีดผ้า,,10%,,,เลขประจำตัว,เลขประจำตัวผู้เสียภาษีอากร  0-3855-59000-07-5,,,,,4,เมษายน,เม.ย.
,ค่าเครื่องดื่ม,,5%,,,อีเมล,vipathotel@gmail.com,,,,,5,พฤษภาคม,พ.ค.
,ค่ามินิบาร์,,,,,Logo บริษัท,,,,,,6,มิถุนายน,มิ.ย.
,,,,,,,(สำนักงานใหญ่),,,,,7,กรกฎาคม,ก.ค.
,,,,,,,,,,,,8,สิงหาคม,ส.ค.
,,,,,,,,,,,,9,กันยายน,ก.ย.
,,,,,,,,,,,,10,ตุลาคม,ต.ค.
,,,,,,,,,,,,11,พฤศจิกายน,พ.ย.
,,,,,,,,,,,,12,ธันวาคม,ธ.ค.
