Year,Month,Category,type
2025,Jan,- Select - ,- Select - 
2026,Feb,Clothing,Expenses
2027,Mar,Netflix,Bills
2028,Apr,Groceries,Savings
2029,May,Stocks,Income
2030,Jun,Salary,Debts
,Jul,Spotify,
,Aug,Hobby,
,Sep,Student Loan,
,Oct,Rentals,
,Nov,Dinning Out,
,Dec,Crypto,
,,Blue Apron,
,,Freelance,
,,Gadgets,
,,House Insurance,
,,Pet,
,,Health Insurance,
,,Household,
,,Real Estate,
,,Water,
,,Education,
,,Mutual Funds,
,,Cinema,
,,Credit Card,
,,Shopping,
,,Fuel,
,,Beauty,
,,Health,
,,Self-Devlopment,
,,Internet,
,,Electricity,
,,Heating,
