#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"B U D G E T   P L A N N E R
&   E X P E N S E   T R A C K E R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,I N C O M E,,,,,,,,,E X P E N S E S    37.3%,,,,,,,,,B I L L S    24.4%,,,,,,,,,S A V I N G S    17.2%,,,,,,,,,D E P T S    9.2%,,,,,,,,,,LEFT TO SPEND,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,฿,"5,450.00",,,,,,,,฿,"2,031.00",,,,,,,,฿,"1,330.99",,,,,,,,฿,940.00,,,,,,,,฿,500.00,,,,,,,,,฿,648.01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Over Budget by ฿50,,,,,,,,,Over Budget by ฿456,,,,,,,,,In Budget,,,,,,,,,In Budget,,,,,,,,,In Budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YEAR,,,,,,,,MONTH,,,,,,,,,,,Spending breakdown,,,,,,,,,,,,Actual Cashflow,,,,,,,,,,,,Cashflow Chart,,,,,,,,,,,,,,,,,,💧 Cashflow,,,,,,,,,,,,,,Custom progress bar,Value,HexCode,Show,,,,Do not change any values. This table is for graph display purposes only.,,,,,,,
,,2025,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type,,,,actual,,,,budget,,,,,,,Grater than or equal to,100%,#93B4A2,,,,,Flow1,,,Income,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟢,previous,,, ฿ 200.00 ,,,, ฿ 200.00 ,,,,,,,Lower than,80%,#FD9B87,,,,,,actual,,Name,Actual,,Name,value
,,👇 Scroll down to fill the Transactions List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟢,income,,," ฿ 5,250.00 ",,,," ฿ 5,200.00 ",,,,,,,Between 80% to,99%,#F0C894,,,,,previous, ฿ 200.00 ,,Freelance, ฿ 450.00 ,,expenses," ฿ 2,031.00 "
