ใบสำคัญจ่ายเงินเดือนและค่าจ้าง ( จ่ายประกันสังคมพนักงาน ),,,,,,,,,
บริษัท วิพัฒน์โฮเทล ดีเวลลอปเมนท์ จำกัด,,,,,,,,,
ค่าจ้างระหว่างวันที่  1 - 31 สิงหาคม 2568,,,,,,,,,
ลำดับ,รายชื่อ,ตำแหน่ง,ค่าจ้าง/เดือน,หักประกันสังคม,นายจ้างสมทบ,รวมเงินที่นำส่ง,รวมเงินเดือน,ลายเซ็นผู้รับเงิน,หมายเหตุ
1,นายพงษ์เพชร กันนารัตน์,คนสวน,"  9,000 ",  450 ,  450 ,  900 ,"  8,550 ",,
2,นายสิทธิพล  ริตะนะ,ช่าง,"  9,000 ",  450 ,  450 ,  900 ,"  8,550 ",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,"  18,000 ",  900 ,  900 ,"  1,800 ","  17,100 ",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
, ,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,ลงชื่อ ........................................................ ( ผู้มีอำนาจอนุมัติ ),,,,                 ผู้จัดทำโดย ...................................................... ( พนักงานบัญชี ),,,,
,                   ( นาง วิพัฒน์   กาลจักร ),,,,,      ( นาย ณัฐภัทร สุวรรณโส),,,
